,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2025-12-31,USD,40185000000,67535000000,27350000000,27350000000,10325000000,18285000000,8320000000,29860000000,None,-1290000000,645000000,1935000000,None,None,None,5021000000,10328000000,-242000000,None,10571000000,None,12263000000,17284000000,10593000000
1,2024-12-31,USD,35551000000,62753000000,27201000000,27201000000,10074000000,16737000000,7479000000,25478000000,None,-965000000,747000000,1712000000,None,None,None,4667000000,5797000000,-218000000,None,6015000000,None,7509000000,12176000000,6023000000
2,2023-12-31,USD,34300000000,61860000000,27560000000,27560000000,7514000000,17952000000,6631000000,26786000000,None,-924000000,591000000,1607000000,None,None,None,4395000000,8690000000,1176000000,None,7099000000,None,7514000000,7514000000,7502000000
3,2022-12-31,USD,32687000000,60530000000,27842000000,27842000000,8174000000,16103000000,6567000000,24514000000,None,-1216000000,162000000,1216000000,None,None,None,4802000000,1156000000,-626000000,None,1782000000,None,2372000000,7174000000,1640000000
4,2021-12-31,USD,31486000000,57351000000,25865000000,25865000000,6832000000,17699000000,6488000000,24654000000,None,-1103000000,52000000,1155000000,None,-873000000,None,6417000000,4837000000,124000000,None,4712000000,None,7021000000,13438000000,5742000000
5,2020-12-31,USD,35575000000,73621000000,38046000000,38046000000,6895000000,20308000000,6333000000,28680000000,None,-1183000000,105000000,1288000000,None,-861000000,None,6695000000,4637000000,-864000000,None,5501000000,None,6014000000,12709000000,5590000000
6,2019-12-31,USD,31533000000,57714000000,26181000000,26181000000,7538000000,17215000000,5910000000,23995000000,None,-995000000,349000000,1022000000,None,968000000,None,6059000000,7206000000,60000000,None,9435000000,None,8550000000,14609000000,9431000000
7,2018-12-31,USD,36936000000,79591000000,42655000000,42655000000,13217000000,17900000000,5379000000,23719000000,None,-459000000,264000000,686000000,None,-1152000000,None,4480000000,11342000000,2619000000,None,8723000000,None,12065000000,16545000000,8728000000
8,2017-12-31,USD,36943000000,79139000000,42196000000,42196000000,13139000000,17911000000,5590000000,23804000000,None,-471000000,144000000,663000000,None,216000000,None,4541000000,11400000000,5642000000,None,5758000000,None,12015000000,16556000000,5753000000
9,2016-12-31,USD,38516000000,79920000000,41403000000,41403000000,14677000000,18952000000,5726000000,24878000000,None,-522000000,108000000,630000000,None,-145000000,None,4381000000,12330000000,449000000,None,11881000000,None,12960000000,17341000000,11872000000
10,2015-12-31,USD,40684000000,81742000000,41057000000,41057000000,16508000000,18604000000,5247000000,24764000000,None,None,None,468000000,None,724000000,None,3855000000,15945000000,2581000000,None,13364000000,None,16413000000,20268000000,13190000000
11,2014-12-31,USD,46407000000,92793000000,46386000000,46386000000,20338000000,21165000000,5437000000,27541000000,None,None,None,484000000,None,1938000000,None,4492000000,19986000000,4234000000,None,15751000000,None,20470000000,24962000000,12022000000
12,2013-12-31,USD,48684000000,98368000000,49683000000,49683000000,21500000000,21630000000,5743000000,28216000000,None,None,None,402000000,None,327000000,None,4678000000,20244000000,3363000000,None,16483000000,None,20646000000,25324000000,16483000000
13,2012-12-31,USD,50361000000,102874000000,52513000000,52513000000,22990000000,21746000000,5816000000,28155000000,None,None,None,459000000,None,843000000,None,4676000000,22540000000,5541000000,None,16604000000,None,22999000000,27675000000,16604000000
14,2011-12-31,USD,50138000000,106916000000,56778000000,56778000000,21922000000,21844000000,6258000000,28656000000,None,None,None,411000000,None,20000000,None,4815000000,21003000000,5148000000,None,15855000000,None,21414000000,26229000000,15855000000
15,2010-12-31,USD,46014000000,99871000000,53857000000,53857000000,19985000000,20208000000,6026000000,26670000000,None,None,None,368000000,None,787000000,None,4831000000,19723000000,4890000000,None,14833000000,None,20091000000,24922000000,14833000000
16,2009-12-31,USD,43785000000,95758000000,51973000000,51973000000,17012000000,19269000000,5820000000,26773000000,None,None,None,402000000,None,351000000,None,4994000000,18138000000,4713000000,None,13425000000,None,18540000000,23534000000,13425000000
17,2008-12-31,USD,45661000000,103630000000,57969000000,57969000000,15939000000,21514000000,6337000000,29722000000,None,None,None,673000000,None,None,None,5450000000,16715000000,4381000000,None,None,None,17388000000,22838000000,12334000000
18,2007-12-31,USD,41729000000,98786000000,57057000000,57057000000,13516000000,22060000000,6153000000,28213000000,None,None,None,611000000,None,None,None,5201000000,14489000000,4071000000,None,None,None,15100000000,20301000000,10418000000
19,2006-12-31,USD,38295000000,91424000000,53129000000,53129000000,11929000000,20259000000,6107000000,26366000000,None,None,None,278000000,None,None,None,4983000000,13317000000,3901000000,None,None,None,13595000000,18578000000,9492000000
